,t,ramp,trans_pd,mzi_pd
0,-0.0053750588,-0.80402,0.2065,2.04841964
1,-0.0053740587999999995,-0.7839195,0.2065,2.14007792
2,-0.005373058799999999,-0.8241205,0.2065,2.20118344
3,-0.005372058799999999,-0.80402,0.20368593,2.20118344
4,-0.0053710588,-0.8241205,0.2065,2.2622889600000002
5,-0.0053700588,-0.80402,0.20368593,2.35394724
6,-0.0053690588,-0.7839195,0.2065,2.47615828
7,-0.0053680588,-0.8241205,0.20368593,2.47615828
8,-0.0053670587999999995,-0.7839195,0.20368593,2.50671104
9,-0.005366058799999999,-0.80402,0.2065,2.50671104
10,-0.0053650588,-0.7839195,0.20368593,2.5678165600000002
11,-0.0053640588,-0.7839195,0.2065,2.62892208
12,-0.0053630588,-0.7839195,0.2065,2.6900276
13,-0.0053620588,-0.80402,0.2065,2.6900276
14,-0.0053610587999999995,-0.7839195,0.20368593,2.75113312
15,-0.005360058799999999,-0.80402,0.20931407,2.8427914000000003
16,-0.005359058799999999,-0.80402,0.2065,2.90389692
17,-0.0053580588,-0.80402,0.2065,2.9955552
18,-0.0053570588,-0.763819,0.20368593,3.08721348
19,-0.0053560588,-0.80402,0.20931407,3.1788717600000003
20,-0.0053550588,-0.80402,0.2065,3.23997728
21,-0.0053540587999999995,-0.7839195,0.2065,3.33163556
22,-0.005353058799999999,-0.7839195,0.2065,3.3927410800000004
23,-0.0053520588,-0.7839195,0.20931407,3.4843993600000003
24,-0.0053510588,-0.80402,0.20931407,3.54550488
25,-0.0053500588,-0.7839195,0.20931407,3.5149521200000002
26,-0.0053490588,-0.7839195,0.20931407,3.6066104
27,-0.0053480587999999996,-0.7839195,0.2065,3.6066104
28,-0.005347058799999999,-0.7839195,0.2065,3.63716316
29,-0.005346058799999999,-0.7839195,0.20931407,3.57605764
30,-0.0053450588,-0.80402,0.20931407,3.54550488
31,-0.0053440588,-0.8241205,0.20931407,3.4538466000000003
32,-0.0053430588,-0.7839195,0.20931407,3.36218832
33,-0.0053420588,-0.763819,0.20931407,3.3010828
34,-0.0053410587999999995,-0.7839195,0.21212814,3.27053004
35,-0.005340058799999999,-0.7839195,0.21212814,3.1788717600000003
36,-0.0053390588,-0.80402,0.21212814,3.08721348
37,-0.0053380588,-0.7839195,0.20931407,2.9955552
38,-0.0053370588,-0.80402,0.20931407,2.9955552
39,-0.0053360588,-0.80402,0.21212814,2.93444968
40,-0.0053350588,-0.80402,0.21212814,2.93444968
41,-0.0053340587999999994,-0.7839195,0.21212814,2.93444968
42,-0.005333058799999999,-0.7839195,0.21212814,2.9955552
43,-0.0053320588,-0.7839195,0.20931407,3.08721348
44,-0.0053310588,-0.7839195,0.21212814,3.11776624
45,-0.0053300588,-0.80402,0.21212814,3.08721348
46,-0.0053290588,-0.80402,0.21212814,3.1788717600000003
47,-0.0053280587999999995,-0.7839195,0.21212814,3.3010828
48,-0.005327058799999999,-0.80402,0.2065,3.33163556
49,-0.0053260588,-0.7839195,0.21212814,3.4232938400000004
50,-0.0053250588,-0.80402,0.20931407,3.4538466000000003
51,-0.0053240588,-0.80402,0.20931407,3.57605764
52,-0.0053230588,-0.80402,0.2065,3.6066104
53,-0.0053220588,-0.7839195,0.2065,3.6066104
54,-0.0053210587999999994,-0.8241205,0.20931407,3.6066104
55,-0.005320058799999999,-0.80402,0.2065,3.63716316
56,-0.0053190588,-0.80402,0.21212814,3.6066104
57,-0.0053180588,-0.763819,0.2065,3.63716316
58,-0.0053170588,-0.80402,0.20931407,3.57605764
59,-0.0053160588,-0.80402,0.2065,3.57605764
60,-0.0053150587999999995,-0.7839195,0.20368593,3.57605764
61,-0.005314058799999999,-0.763819,0.2065,3.4843993600000003
62,-0.005313058799999999,-0.7839195,0.20931407,3.4843993600000003
63,-0.0053120588,-0.763819,0.20368593,3.4843993600000003
64,-0.0053110588,-0.7839195,0.2065,3.4538466000000003
65,-0.0053100588,-0.80402,0.2065,3.4843993600000003
66,-0.0053090588,-0.80402,0.2065,3.4843993600000003
67,-0.0053080587999999995,-0.763819,0.20931407,3.4538466000000003
68,-0.005307058799999999,-0.80402,0.20931407,3.5149521200000002
69,-0.0053060588,-0.80402,0.20931407,3.5149521200000002
70,-0.0053050588,-0.7839195,0.20931407,3.54550488
71,-0.0053040588,-0.80402,0.21212814,3.57605764
72,-0.0053030588,-0.7839195,0.2065,3.57605764
73,-0.0053020587999999995,-0.7839195,0.20931407,3.6066104
74,-0.005301058799999999,-0.7839195,0.20931407,3.63716316
75,-0.005300058799999999,-0.7839195,0.20931407,3.6066104
76,-0.0052990588,-0.80402,0.2065,3.57605764
77,-0.0052980588,-0.7839195,0.2065,3.63716316
78,-0.0052970588,-0.7839195,0.2065,3.54550488
79,-0.0052960588,-0.763819,0.20931407,3.54550488
80,-0.0052950587999999995,-0.80402,0.21212814,3.57605764
81,-0.005294058799999999,-0.7839195,0.20931407,3.54550488
82,-0.0052930588,-0.763819,0.20931407,3.57605764
83,-0.0052920588,-0.80402,0.21494221,3.57605764
84,-0.0052910588,-0.7437185000000001,0.21494221,3.54550488
85,-0.0052900588,-0.7839195,0.21212814,3.54550488
86,-0.0052890587999999995,-0.7839195,0.20931407,3.57605764
87,-0.005288058799999999,-0.7839195,0.21212814,3.6066104
88,-0.005287058799999999,-0.763819,0.2065,3.6066104
89,-0.0052860588,-0.763819,0.20931407,3.63716316
90,-0.0052850588,-0.7839195,0.2065,3.6066104
91,-0.0052840588,-0.763819,0.20931407,3.57605764
92,-0.0052830588,-0.7839195,0.20931407,3.4843993600000003
93,-0.0052820587999999995,-0.7839195,0.2065,3.36218832
94,-0.005281058799999999,-0.7839195,0.20931407,3.23997728
95,-0.0052800588,-0.7839195,0.20931407,3.05666072
96,-0.0052790588,-0.7839195,0.2065,2.78168588
97,-0.0052780588,-0.7839195,0.2065,2.5678165600000002
98,-0.0052770588,-0.7839195,0.2065,2.3845
99,-0.0052760587999999995,-0.763819,0.2065,2.20118344
100,-0.005275058799999999,-0.7839195,0.20368593,1.9262086
101,-0.005274058799999999,-0.7839195,0.20368593,1.74289204
102,-0.0052730588,-0.7839195,0.20368593,1.55957548
103,-0.0052720588,-0.7839195,0.20368593,1.52902272
104,-0.0052710588,-0.7839195,0.20368593,1.49846996
105,-0.0052700588,-0.7839195,0.2065,1.52902272
106,-0.0052690587999999995,-0.7839195,0.20087185999999999,1.49846996
107,-0.005268058799999999,-0.7839195,0.2065,1.5901282399999999
108,-0.0052670588,-0.7839195,0.20931407,1.6817865200000002
109,-0.0052660588,-0.80402,0.20087185999999999,1.7734448
110,-0.0052650588,-0.7839195,0.2065,1.83455032
111,-0.0052640588,-0.763819,0.2065,1.95676136
112,-0.0052630587999999996,-0.7839195,0.2065,2.0789724
113,-0.005262058799999999,-0.763819,0.20368593,2.17063068
114,-0.005261058799999999,-0.763819,0.20368593,2.20118344
115,-0.0052600588,-0.80402,0.2065,2.2622889600000002
116,-0.0052590588,-0.7839195,0.2065,2.2317362000000003
117,-0.0052580588,-0.7839195,0.2065,2.2622889600000002
118,-0.0052570588,-0.763819,0.20368593,2.2622889600000002
119,-0.0052560587999999995,-0.763819,0.2065,2.32339448
120,-0.005255058799999999,-0.7839195,0.2065,2.32339448
121,-0.0052540588,-0.7839195,0.20931407,2.29284172
122,-0.0052530588,-0.80402,0.20368593,2.35394724
123,-0.0052520588,-0.7839195,0.2065,2.35394724
124,-0.0052510588,-0.763819,0.20368593,2.35394724
125,-0.0052500587999999996,-0.7839195,0.20368593,2.3845
126,-0.005249058799999999,-0.7839195,0.2065,2.41505276
127,-0.005248058799999999,-0.7839195,0.20368593,2.41505276
128,-0.0052470588,-0.7839195,0.2065,2.5372638
129,-0.0052460588,-0.7839195,0.20368593,2.62892208
130,-0.0052450588,-0.7839195,0.2065,2.75113312
131,-0.0052440588,-0.7839195,0.20368593,2.8427914000000003
132,-0.0052430587999999995,-0.7437185000000001,0.2065,2.9955552
133,-0.005242058799999999,-0.7839195,0.2065,3.08721348
134,-0.0052410588,-0.763819,0.20931407,3.36218832
135,-0.0052400588,-0.7839195,0.2065,3.4232938400000004
136,-0.0052390588,-0.7839195,0.2065,3.5149521200000002
137,-0.0052380588,-0.763819,0.20931407,3.6066104
138,-0.0052370588,-0.7839195,0.2065,3.63716316
139,-0.0052360587999999994,-0.763819,0.20931407,3.57605764
140,-0.005235058799999999,-0.763819,0.2065,3.4538466000000003
141,-0.0052340588,-0.763819,0.20931407,3.23997728
142,-0.0052330588,-0.80402,0.20931407,2.9955552
143,-0.0052320588,-0.763819,0.21212814,2.62892208
144,-0.0052310588,-0.7839195,0.21212814,2.29284172
145,-0.0052300587999999995,-0.763819,0.21494221,1.9262086
146,-0.005229058799999999,-0.763819,0.21212814,1.65123376
147,-0.005228058799999999,-0.7839195,0.20931407,1.52902272
148,-0.0052270588,-0.7839195,0.21212814,1.4679172
149,-0.0052260588,-0.7839195,0.21494221,1.5901282399999999
150,-0.0052250588,-0.763819,0.20931407,1.7734448
151,-0.0052240588,-0.763819,0.21212814,2.04841964
152,-0.0052230587999999994,-0.7839195,0.21494221,2.35394724
153,-0.005222058799999999,-0.7839195,0.21212814,2.72058036
154,-0.0052210588,-0.763819,0.20931407,3.05666072
155,-0.0052200588,-0.7839195,0.21212814,3.3010828
156,-0.0052190588,-0.7839195,0.20931407,3.5149521200000002
157,-0.0052180588,-0.7839195,0.21212814,3.57605764
158,-0.0052170587999999995,-0.7437185000000001,0.21212814,3.6066104
159,-0.005216058799999999,-0.763819,0.20931407,3.6066104
160,-0.0052150588,-0.7839195,0.21212814,3.54550488
161,-0.0052140588,-0.763819,0.20931407,3.3927410800000004
162,-0.0052130588,-0.7839195,0.20931407,3.1788717600000003
163,-0.0052120588,-0.763819,0.20931407,2.9955552
164,-0.0052110588,-0.763819,0.20931407,2.8427914000000003
165,-0.0052100587999999995,-0.7839195,0.20931407,2.65947484
166,-0.005209058799999999,-0.763819,0.2065,2.47615828
167,-0.0052080588,-0.7839195,0.2065,2.32339448
168,-0.0052070588,-0.7839195,0.2065,2.10952516
169,-0.0052060588,-0.763819,0.2065,1.98731412
170,-0.0052050588,-0.7839195,0.2065,1.83455032
171,-0.0052040587999999995,-0.7839195,0.2065,1.6817865200000002
172,-0.005203058799999999,-0.7839195,0.20368593,1.5901282399999999
173,-0.005202058799999999,-0.763819,0.2065,1.49846996
174,-0.0052010588,-0.763819,0.20931407,1.4679172
175,-0.0052000588,-0.7839195,0.20368593,1.49846996
176,-0.0051990588,-0.7437185000000001,0.2065,1.55957548
177,-0.0051980588,-0.763819,0.20368593,1.7123392800000001
178,-0.0051970587999999995,-0.7839195,0.20931407,1.86510308
179,-0.005196058799999999,-0.7839195,0.2065,2.20118344
180,-0.0051950588,-0.7437185000000001,0.20368593,2.5372638
181,-0.0051940588,-0.763819,0.2065,2.90389692
182,-0.0051930588,-0.7437185000000001,0.20931407,3.2094245200000002
183,-0.0051920588,-0.763819,0.20368593,3.4538466000000003
184,-0.0051910587999999995,-0.763819,0.20368593,3.6066104
185,-0.005190058799999999,-0.763819,0.2065,3.6066104
186,-0.005189058799999999,-0.763819,0.20368593,3.4232938400000004
187,-0.0051880588,-0.763819,0.2065,3.08721348
188,-0.0051870588,-0.763819,0.2065,2.59836932
189,-0.0051860588,-0.763819,0.2065,2.14007792
190,-0.0051850588,-0.80402,0.2065,1.7123392800000001
191,-0.0051840587999999995,-0.763819,0.20931407,1.52902272
192,-0.005183058799999999,-0.7839195,0.21212814,1.52902272
193,-0.0051820588,-0.7839195,0.20931407,1.80399756
194,-0.0051810588,-0.763819,0.21212814,2.35394724
195,-0.0051800588,-0.763819,0.21212814,2.78168588
196,-0.0051790588,-0.7437185000000001,0.21494221,3.27053004
197,-0.0051780587999999995,-0.763819,0.20931407,3.54550488
198,-0.005177058799999999,-0.763819,0.21212814,3.54550488
199,-0.005176058799999999,-0.7839195,0.21212814,3.33163556
200,-0.0051750588,-0.7839195,0.2065,2.8733441600000003
201,-0.0051740588,-0.763819,0.20931407,2.29284172
202,-0.0051730588,-0.7437185000000001,0.20931407,1.7734448
203,-0.0051720588,-0.763819,0.20931407,1.52902272
204,-0.0051710587999999995,-0.763819,0.20931407,1.49846996
205,-0.005170058799999999,-0.7437185000000001,0.2065,1.7123392800000001
206,-0.0051690588,-0.7437185000000001,0.20931407,2.17063068
207,-0.0051680588,-0.7839195,0.2065,2.62892208
208,-0.0051670588,-0.763819,0.20087185999999999,3.08721348
209,-0.0051660588,-0.763819,0.2065,3.4538466000000003
210,-0.0051650587999999996,-0.7437185000000001,0.20087185999999999,3.6066104
211,-0.005164058799999999,-0.7839195,0.20368593,3.54550488
212,-0.005163058799999999,-0.7437185000000001,0.20368593,3.3010828
213,-0.0051620588,-0.763819,0.20368593,2.8427914000000003
214,-0.0051610588,-0.763819,0.20368593,2.41505276
215,-0.0051600588,-0.763819,0.20931407,1.98731412
216,-0.0051590588,-0.763819,0.20368593,1.65123376
217,-0.0051580587999999995,-0.7437185000000001,0.20931407,1.4679172
218,-0.005157058799999999,-0.763819,0.20931407,1.55957548
219,-0.0051560588,-0.763819,0.2065,1.74289204
220,-0.0051550588,-0.7839195,0.20931407,2.14007792
221,-0.0051540588,-0.7839195,0.20931407,2.47615828
222,-0.0051530588,-0.763819,0.20931407,2.96500244
223,-0.0051520587999999996,-0.763819,0.20931407,3.2094245200000002
224,-0.005151058799999999,-0.7437185000000001,0.20931407,3.54550488
225,-0.005150058799999999,-0.7839195,0.21212814,3.6066104
226,-0.0051490588,-0.763819,0.21494221,3.5149521200000002
227,-0.0051480588,-0.763819,0.20931407,3.2094245200000002
228,-0.0051470588,-0.763819,0.20931407,2.81223864
229,-0.0051460588,-0.7839195,0.21494221,2.29284172
230,-0.0051450587999999995,-0.763819,0.21212814,1.83455032
231,-0.005144058799999999,-0.763819,0.2065,1.55957548
232,-0.005143058799999999,-0.763819,0.20931407,1.49846996
233,-0.0051420588,-0.763819,0.20368593,1.7734448
234,-0.0051410588,-0.7839195,0.20931407,2.17063068
235,-0.0051400588,-0.763819,0.21212814,2.75113312
236,-0.0051390588,-0.7437185000000001,0.20368593,3.3010828
237,-0.0051380587999999994,-0.7839195,0.2065,3.6066104
238,-0.005137058799999999,-0.7839195,0.20368593,3.54550488
239,-0.0051360588,-0.763819,0.20931407,3.11776624
240,-0.0051350588,-0.763819,0.20368593,2.47615828
241,-0.0051340588,-0.7437185000000001,0.20931407,1.83455032
242,-0.0051330588,-0.7839195,0.20931407,1.4679172
243,-0.0051320587999999995,-0.763819,0.20931407,1.65123376
244,-0.005131058799999999,-0.763819,0.2065,2.2622889600000002
245,-0.0051300588,-0.763819,0.20931407,3.08721348
246,-0.0051290588,-0.7437185000000001,0.20931407,3.57605764
247,-0.0051280588,-0.763819,0.20931407,3.5149521200000002
248,-0.0051270588,-0.763819,0.21212814,2.8733441600000003
249,-0.0051260588,-0.7437185000000001,0.20931407,2.17063068
250,-0.0051250587999999994,-0.763819,0.21212814,1.55957548
251,-0.005124058799999999,-0.763819,0.20931407,1.55957548
252,-0.0051230588,-0.7437185000000001,0.21212814,2.04841964
253,-0.0051220588,-0.763819,0.2065,2.72058036
254,-0.0051210588,-0.763819,0.2065,3.4538466000000003
255,-0.0051200588,-0.7437185000000001,0.20368593,3.6066104
256,-0.0051190587999999995,-0.7437185000000001,0.2065,3.36218832
257,-0.005118058799999999,-0.7437185000000001,0.20087185999999999,2.75113312
258,-0.005117058799999999,-0.7839195,0.2065,2.04841964
259,-0.0051160588,-0.763819,0.2065,1.52902272
260,-0.0051150588,-0.763819,0.20368593,1.49846996
261,-0.0051140588,-0.723618,0.2065,1.80399756
262,-0.0051130588,-0.763819,0.20368593,2.44560552
263,-0.0051120587999999995,-0.7437185000000001,0.20931407,3.02610796
