,t,ramp,trans_pd,mzi_pd
0,-0.0055350588,-1.1761305,1.175791457,4.0118089999999995
1,-0.0055340988,-1.1761305,1.167751256,2.5243719999999996
2,-0.0055331388,-1.196231,1.167751256,0.9565329999999999
3,-0.0055321788,-1.1761305,1.167751256,0.23291499999999976
4,-0.0055312188,-1.15603,1.167751256,0.39371899999999993
5,-0.0055302588,-1.1761305,1.151670854,1.6399499999999998
6,-0.0055292988000000005,-1.15603,1.151670854,3.167588
7,-0.0055283388,-1.1761305,1.167751256,4.614824
8,-0.0055273788,-1.196231,1.167751256,5.298241
9,-0.0055264188,-1.1761305,1.159711055,4.896231
10,-0.0055254588,-1.2163315,1.167751256,3.4891959999999997
11,-0.0055244988,-1.196231,1.167751256,1.7605529999999998
12,-0.0055235388,-1.1761305,1.159711055,0.514322
13,-0.0055225788000000005,-1.196231,1.167751256,0.1525129999999999
14,-0.0055216188,-1.1761305,1.167751256,1.0369349999999997
15,-0.0055206588,-1.196231,1.167751256,2.725377
16,-0.0055196988,-1.1761305,1.159711055,4.413819
17,-0.0055187388,-1.196231,1.175791457,5.258039999999999
18,-0.0055177788,-1.196231,1.167751256,4.936432
19,-0.0055168188,-1.1761305,1.175791457,3.529397
20,-0.0055158588000000005,-1.1761305,1.175791457,1.599749
21,-0.0055148988,-1.196231,1.167751256,0.39371899999999993
22,-0.0055139388,-1.196231,1.159711055,0.23291499999999976
23,-0.0055129788,-1.196231,1.159711055,1.479146
24,-0.0055120188,-1.1761305,1.167751256,3.207789
25,-0.0055110588,-1.1761305,1.159711055,4.85603
26,-0.0055100988,-1.15603,1.151670854,5.338442
27,-0.0055091388000000005,-1.1761305,1.151670854,4.45402
28,-0.0055081788,-1.1761305,1.167751256,2.6449749999999996
29,-0.0055072188,-1.1761305,1.159711055,0.996734
30,-0.0055062588,-1.1761305,1.175791457,0.19271400000000005
31,-0.0055052988,-1.1761305,1.167751256,0.7153269999999998
32,-0.0055043388,-1.15603,1.167751256,2.2831659999999996
33,-0.0055033788,-1.1761305,1.159711055,4.212814
34,-0.0055024188000000005,-1.1761305,1.175791457,5.258039999999999
35,-0.0055014588,-1.1761305,1.159711055,4.936432
36,-0.0055004988,-1.196231,1.175791457,3.4891959999999997
37,-0.0054995388,-1.1761305,1.167751256,1.559548
38,-0.0054985788,-1.1761305,1.175791457,0.23291499999999976
39,-0.0054976188,-1.15603,1.167751256,0.39371899999999993
40,-0.0054966588,-1.15603,1.167751256,1.800754
41,-0.0054956988000000005,-1.1761305,1.167751256,3.770603
42,-0.0054947388,-1.196231,1.167751256,5.137437
43,-0.0054937788,-1.1761305,1.159711055,5.097236
44,-0.0054928188,-1.15603,1.159711055,3.6097989999999998
45,-0.0054918588,-1.1761305,1.159711055,1.7203519999999999
46,-0.0054908988,-1.15603,1.159711055,0.3535179999999998
47,-0.0054899388,-1.15603,1.159711055,0.4339200000000001
48,-0.0054889788000000005,-1.1761305,1.151670854,1.8811559999999998
49,-0.0054880188,-1.1761305,1.159711055,3.810804
50,-0.0054870588,-1.15603,1.159711055,5.177638
51,-0.0054860988,-1.15603,1.167751256,5.097236
52,-0.0054851388,-1.15603,1.175791457,3.288191
53,-0.0054841788,-1.1761305,1.175791457,1.2781409999999997
54,-0.0054832188,-1.15603,1.167751256,0.23291499999999976
55,-0.0054822588,-1.15603,1.167751256,0.755528
56,-0.0054812988,-1.15603,1.167751256,2.564573
57,-0.0054803388,-1.1359295,1.159711055,4.494221
58,-0.0054793788,-1.1761305,1.167751256,5.258039999999999
59,-0.0054784188,-1.1359295,1.159711055,4.333417
60,-0.0054774588,-1.1761305,1.151670854,2.242965
61,-0.0054764988,-1.1761305,1.167751256,0.514322
62,-0.0054755388,-1.15603,1.159711055,0.2731159999999999
63,-0.0054745788,-1.1761305,1.159711055,1.840955
64,-0.0054736188,-1.15603,1.159711055,3.971608
65,-0.0054726588,-1.1761305,1.159711055,5.258039999999999
66,-0.0054716988,-1.1761305,1.167751256,4.695226
67,-0.0054707388000000004,-1.15603,1.167751256,2.805779
68,-0.0054697788,-1.15603,1.167751256,0.7957289999999997
69,-0.0054688188,-1.1761305,1.159711055,0.19271400000000005
70,-0.0054678588,-1.15603,1.167751256,1.358543
71,-0.0054668988,-1.15603,1.175791457,3.6097989999999998
72,-0.0054659388,-1.15603,1.175791457,5.097236
73,-0.0054649788,-1.15603,1.175791457,4.896231
74,-0.0054640188000000004,-1.1761305,1.167751256,3.1273869999999997
75,-0.0054630588,-1.15603,1.167751256,1.0369349999999997
76,-0.0054620988,-1.1761305,1.159711055,0.1525129999999999
77,-0.0054611388,-1.15603,1.159711055,1.23794
78,-0.0054601788,-1.1761305,1.151670854,3.4891959999999997
79,-0.0054592188,-1.15603,1.159711055,5.097236
80,-0.0054582588,-1.1359295,1.159711055,4.936432
81,-0.0054572988000000005,-1.15603,1.167751256,3.087186
82,-0.0054563388,-1.1761305,1.151670854,1.0771359999999999
83,-0.0054553788,-1.15603,1.151670854,0.1525129999999999
84,-0.0054544188,-1.196231,1.159711055,1.23794
85,-0.0054534588,-1.15603,1.159711055,3.3685929999999997
86,-0.0054524988,-1.1761305,1.159711055,5.016834
87,-0.0054515388,-1.15603,1.151670854,4.976633
88,-0.0054505788000000005,-1.196231,1.167751256,3.288191
89,-0.0054496188,-1.1761305,1.159711055,1.1575379999999997
90,-0.0054486588,-1.1761305,1.159711055,0.11231199999999975
91,-0.0054476988,-1.15603,1.151670854,1.1575379999999997
92,-0.0054467388,-1.196231,1.167751256,3.328392
93,-0.0054457788,-1.15603,1.159711055,5.097236
94,-0.0054448188,-1.1359295,1.151670854,4.976633
95,-0.0054438588000000005,-1.1761305,1.167751256,3.167588
96,-0.0054428988,-1.1359295,1.151670854,0.9163319999999997
97,-0.0054419388,-1.1359295,1.159711055,0.19271400000000005
98,-0.0054409788,-1.1359295,1.159711055,1.5193469999999998
99,-0.0054400188,-1.15603,1.159711055,3.7304019999999998
